+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Experiment              | Created      | reports\metrics_catboost.json:R2 | reports\metrics_catboost.json:MSE | reports\metrics_catboost.json:MAPE | reports\metrics_catboost.json:EV | reports\metrics_xgboost.json:R2 | reports\metrics_xgboost.json:MSE | reports\metrics_xgboost.json:MAPE | reports\metrics_xgboost.json:EV | train.test_size | train.iterations | train.loss_function | train.learning_rate | train.ctr_leaf_count_limit | train.max_depth | train.booster | train.eta | train.tree_method | train.random_state |
| \u251c\u2500\u2500 cab3e0b [exp-c1566] | 12:13 AM     |                          0.84594 |                        1.2388e+09 |                            0.10773 |                          0.84672 |                         0.88691 |                        9.093e+08 |                          0.096268 |                         0.88765 | 0.2             | 1000             | RMSE                | 0.05                | 1                          | 1               | dart          | 0.1       | exact             | 77                 |
| \u251c\u2500\u2500 084d272 [exp-fb454] | 12:12 AM     |                          0.88552 |                        8.1519e+08 |                            0.11013 |                          0.88555 |                         0.85824 |                       1.0094e+09 |                          0.094424 |                         0.85832 | 0.2             | 1000             | RMSE                | 0.05                | 1                          | 1               | dart          | 0.1       | exact             | 1                  |
| \u251c\u2500\u2500 6d29da5 [exp-28159] | 12:11 AM     |                          0.84594 |                        1.2388e+09 |                            0.10773 |                          0.84672 |                       0.0077522 |                       7.9784e+09 |                           0.35867 |                         0.66725 | 0.2             | 1000             | RMSE                | 0.05                | 1                          | 1               | dart          | 0.01      | exact             | 77                 |
| \u251c\u2500\u2500 9c11d17 [exp-74a99] | 12:11 AM     |                          0.88552 |                        8.1519e+08 |                            0.11013 |                          0.88555 |                       -0.055155 |                       7.5136e+09 |                           0.35986 |                         0.60874 | 0.2             | 1000             | RMSE                | 0.05                | 1                          | 1               | dart          | 0.01      | exact             | 1                  |
| \u251c\u2500\u2500 c23a4b6 [exp-50067] | 12:10 AM     |                           0.8989 |                        8.1288e+08 |                           0.092589 |                          0.90067 |                         0.88691 |                        9.093e+08 |                          0.096268 |                         0.88765 | 0.2             | 100              | RMSE                | 0.2                 | 5                          | 4               | gbtree        | 0.1       | exact             | 77                 |
| \u251c\u2500\u2500 d6391eb [exp-cdf6e] | 12:09 AM     |                          0.90514 |                        6.7547e+08 |                           0.098536 |                          0.90526 |                         0.85824 |                       1.0094e+09 |                          0.094424 |                         0.85832 | 0.2             | 100              | RMSE                | 0.2                 | 5                          | 4               | gbtree        | 0.1       | exact             | 1                  |
| \u251c\u2500\u2500 224cd08 [exp-2fdbe] | 12:09 AM     |                           0.8989 |                        8.1288e+08 |                           0.092589 |                          0.90067 |                       0.0077522 |                       7.9784e+09 |                           0.35867 |                         0.66725 | 0.2             | 100              | RMSE                | 0.2                 | 5                          | 4               | gbtree        | 0.01      | exact             | 77                 |
| \u251c\u2500\u2500 15cc4e8 [exp-01a5c] | 12:08 AM     |                          0.90514 |                        6.7547e+08 |                           0.098536 |                          0.90526 |                       -0.055155 |                       7.5136e+09 |                           0.35986 |                         0.60874 | 0.2             | 100              | RMSE                | 0.2                 | 5                          | 4               | gbtree        | 0.01      | exact             | 1                  |
| \u251c\u2500\u2500 7351a71 [exp-21682] | 12:08 AM     |                           0.8989 |                        8.1288e+08 |                           0.092589 |                          0.90067 |                         0.88691 |                        9.093e+08 |                          0.096268 |                         0.88765 | 0.2             | 100              | RMSE                | 0.2                 | 5                          | 4               | dart          | 0.1       | exact             | 77                 |
| \u251c\u2500\u2500 5a43c9e [exp-e07f3] | 12:07 AM     |                          0.90514 |                        6.7547e+08 |                           0.098536 |                          0.90526 |                         0.85824 |                       1.0094e+09 |                          0.094424 |                         0.85832 | 0.2             | 100              | RMSE                | 0.2                 | 5                          | 4               | dart          | 0.1       | exact             | 1                  |
| \u251c\u2500\u2500 191ee03 [exp-814ed] | 12:06 AM     |                           0.8989 |                        8.1288e+08 |                           0.092589 |                          0.90067 |                       0.0077522 |                       7.9784e+09 |                           0.35867 |                         0.66725 | 0.2             | 100              | RMSE                | 0.2                 | 5                          | 4               | dart          | 0.01      | exact             | 77                 |
| \u251c\u2500\u2500 34c5952 [exp-83fed] | 12:06 AM     |                          0.90514 |                        6.7547e+08 |                           0.098536 |                          0.90526 |                       -0.055155 |                       7.5136e+09 |                           0.35986 |                         0.60874 | 0.2             | 100              | RMSE                | 0.2                 | 5                          | 4               | dart          | 0.01      | exact             | 1                  |
| \u251c\u2500\u2500 fa98593 [exp-d7711] | 12:05 AM     |                          0.84022 |                        1.2848e+09 |                            0.12276 |                          0.84087 |                         0.88691 |                        9.093e+08 |                          0.096268 |                         0.88765 | 0.2             | 100              | RMSE                | 0.2                 | 5                          | 1               | gbtree        | 0.1       | exact             | 77                 |
| \u251c\u2500\u2500 e1d0254 [exp-72e9b] | 12:05 AM     |                          0.86982 |                        9.2699e+08 |                            0.12881 |                          0.86987 |                         0.85824 |                       1.0094e+09 |                          0.094424 |                         0.85832 | 0.2             | 100              | RMSE                | 0.2                 | 5                          | 1               | gbtree        | 0.1       | exact             | 1                  |
